City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Hermanus,ZA,77.81,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
3,Cape Town,ZA,77.27,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
8,Port Alfred,ZA,73.45,clear sky,-33.5906,26.891,The Halyards Hotel
9,Makakilo City,US,63.61,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
14,Mar Del Plata,AR,64.42,overcast clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
20,Nador,MA,60.87,few clouds,35.174,-2.9287,Hôtel La Giralda
21,Kinablangan,PH,76.59,broken clouds,7.6947,126.5503,Morales Eatery and Lodging House
23,Acapulco,MX,75.02,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
24,Charters Towers,AU,72.99,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
27,Kapaa,US,67.98,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
28,Vaini,TO,78.96,scattered clouds,-21.2,-175.2,Keleti Beach Resort
33,Padang,ID,77.36,overcast clouds,-0.9492,100.3543,Mercure Padang
39,Rikitea,PF,79.0,light rain,-23.1203,-134.9692,People ThankYou
41,Avarua,CK,73.45,few clouds,-21.2078,-159.775,Paradise Inn
44,Bengkulu,ID,75.25,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
48,Sechura,PE,77.02,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
49,Bambanglipuro,ID,78.13,light rain,-7.95,110.2833,Puri Brata
50,Vanimo,PG,77.36,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
56,Ginir,ET,67.59,few clouds,7.1333,40.7,Sura Dare Village
57,Busselton,AU,63.09,scattered clouds,-33.65,115.3333,Observatory Guest House
58,Port Lincoln,AU,62.76,clear sky,-34.7333,135.8667,Port Lincoln Hotel
61,Bredasdorp,ZA,77.29,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
68,Bac Lieu,VN,78.67,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
76,Arona,ES,71.91,few clouds,28.0996,-16.681,Paradise Court
81,Aswan,EG,67.3,clear sky,24.0934,32.907,Nuba Nile
85,Asyut,EG,62.78,clear sky,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
86,Port Shepstone,ZA,79.47,broken clouds,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
89,Constitucion,CL,69.64,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
90,Veraval,IN,73.15,clear sky,20.9,70.3667,Lords Inn Somnath
92,Pisco,PE,75.25,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
93,Puerto Escondido,MX,77.83,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
95,Havelock,US,62.98,few clouds,34.8791,-76.9013,Sherwood Motel
98,Ambilobe,MG,74.19,moderate rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
100,Atuona,PF,77.09,light rain,-9.8,-139.0333,Villa Enata
102,Cabo San Lucas,MX,64.15,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
103,Asfi,MA,64.36,broken clouds,32.2994,-9.2372,Hôtel Abda
107,Kahului,US,68.85,clear sky,20.8947,-156.47,Maui Seaside Hotel
111,Castro,BR,78.12,clear sky,-24.7911,-50.0119,CHACARA BAILLY
113,Arraial Do Cabo,BR,76.96,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
114,Huarmey,PE,75.36,overcast clouds,-10.0681,-78.1522,Hotel Miramar
118,Hoa Binh,VN,62.49,overcast clouds,20.8133,105.3383,Hoa Dao Hotel
