City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Punta Arenas,CL,-53.15,-70.9167,55.51,62,75,28.77,broken clouds
1,Hermanus,ZA,-34.4187,19.2345,77.81,77,7,6.82,clear sky
2,Sioux Lookout,CA,50.1001,-91.917,-5.42,71,100,13.8,overcast clouds
3,Cape Town,ZA,-33.9258,18.4232,77.27,52,0,18.41,clear sky
4,Margate,GB,51.3813,1.3862,46.96,55,32,1.01,scattered clouds
5,Mataura,NZ,-46.1927,168.8643,51.48,86,100,2.53,overcast clouds
6,Ushuaia,AR,-54.8,-68.3,53.26,58,75,10.36,broken clouds
7,Batsfjord,NO,70.6345,29.7185,33.73,86,75,27.63,broken clouds
8,Port Alfred,ZA,-33.5906,26.891,73.45,72,1,6.53,clear sky
9,Makakilo City,US,21.3469,-158.0858,63.61,83,0,4.61,clear sky
10,Trebinje,BA,42.7119,18.3442,52.16,76,20,6.91,few clouds
11,Kotelnich,RU,58.3089,48.348,24.12,97,100,5.41,snow
12,Matagami,CA,49.7502,-77.6328,3.31,78,100,8.05,light snow
13,Norman Wells,CA,65.282,-126.8329,-16.56,69,40,8.05,scattered clouds
14,Mar Del Plata,AR,-38.0023,-57.5575,64.42,77,100,21.0,overcast clouds
15,Jamestown,US,42.097,-79.2353,42.08,37,96,8.01,overcast clouds
16,Hobart,AU,-42.8794,147.3294,53.46,68,9,4.61,clear sky
17,Tasiilaq,GL,65.6145,-37.6368,17.76,60,100,4.32,overcast clouds
18,Takoradi,GH,4.8845,-1.7554,84.0,71,6,13.65,clear sky
19,Tuatapere,NZ,-46.1333,167.6833,51.82,86,93,5.97,overcast clouds
20,Nador,MA,35.174,-2.9287,60.87,63,20,4.61,few clouds
21,Kinablangan,PH,7.6947,126.5503,76.59,86,55,4.23,broken clouds
22,Chuy,UY,-33.6971,-53.4616,83.88,54,4,10.98,clear sky
23,Acapulco,MX,16.8634,-99.8901,75.02,73,75,5.75,broken clouds
24,Charters Towers,AU,-20.1,146.2667,72.99,78,1,9.48,clear sky
25,Saint-Georges,GD,12.0564,-61.7485,82.08,69,75,18.41,broken clouds
26,Boma,GH,7.0805,-2.1697,100.4,13,4,3.96,clear sky
27,Kapaa,US,22.0752,-159.319,67.98,94,75,9.22,broken clouds
28,Vaini,TO,-21.2,-175.2,78.96,94,40,4.61,scattered clouds
29,Garwa,IN,24.1833,83.8167,57.54,37,0,3.02,clear sky
30,Bethel,US,41.3712,-73.414,50.04,52,0,10.36,clear sky
31,Mount Gambier,AU,-37.8333,140.7667,49.91,87,3,8.05,clear sky
32,Kaitangata,NZ,-46.2817,169.8464,55.36,89,100,2.46,overcast clouds
33,Padang,ID,-0.9492,100.3543,77.36,80,100,3.67,overcast clouds
34,Hamilton,US,39.1834,-84.5333,50.09,53,0,13.8,clear sky
35,Faanui,PF,-16.4833,-151.75,81.14,73,16,14.32,light rain
36,Mahebourg,MU,-20.4081,57.7,80.89,83,40,4.61,scattered clouds
37,Albany,US,42.6001,-73.9662,44.74,62,37,1.99,scattered clouds
38,Uusikaupunki,FI,60.8004,21.4084,30.72,80,43,11.23,scattered clouds
39,Rikitea,PF,-23.1203,-134.9692,79.0,72,2,18.57,light rain
40,Bilibino,RU,68.0546,166.4372,-36.67,97,42,2.64,scattered clouds
41,Avarua,CK,-21.2078,-159.775,73.45,94,15,2.3,few clouds
42,Nikolskoye,RU,59.7035,30.7861,30.09,84,100,10.71,overcast clouds
43,Turukhansk,RU,65.8167,87.9833,-19.75,90,30,4.68,scattered clouds
44,Bengkulu,ID,-3.8004,102.2655,75.25,89,85,4.68,overcast clouds
45,Panormos,GR,35.4182,24.6909,58.01,75,13,3.62,few clouds
46,Nakamura,JP,32.9833,132.9333,40.46,81,48,3.38,scattered clouds
47,Manali,IN,13.1667,80.2667,81.07,72,29,10.89,scattered clouds
48,Sechura,PE,-5.5569,-80.8222,77.02,59,97,6.64,overcast clouds
49,Bambanglipuro,ID,-7.95,110.2833,78.13,85,100,2.73,light rain
50,Vanimo,PG,-2.6741,141.3028,77.36,88,100,5.84,overcast clouds
51,Saldanha,ZA,-33.0117,17.9442,80.65,83,20,18.99,few clouds
52,Kodiak,US,57.79,-152.4072,36.91,93,100,8.05,light rain
53,Bambous Virieux,MU,-20.3428,57.7575,80.85,83,40,4.61,scattered clouds
54,Barrow,US,71.2906,-156.7887,-25.58,68,0,8.05,clear sky
55,Muborak,UZ,39.2553,65.1528,53.49,39,100,11.41,overcast clouds
56,Ginir,ET,7.1333,40.7,67.59,26,20,5.17,few clouds
57,Busselton,AU,-33.65,115.3333,63.09,88,27,6.73,scattered clouds
58,Port Lincoln,AU,-34.7333,135.8667,62.76,78,0,15.41,clear sky
59,Kavaratti,IN,10.5669,72.642,80.94,73,35,7.18,scattered clouds
60,Kyren,RU,51.6828,102.1408,-12.95,92,35,1.48,scattered clouds
61,Bredasdorp,ZA,-34.5322,20.0403,77.29,58,0,9.66,clear sky
62,Yumen,CN,40.2833,97.2,23.92,46,97,1.74,overcast clouds
63,Ouallam,NE,14.3188,2.0866,92.46,5,0,9.71,clear sky
64,Shimoda,JP,34.6667,138.95,40.1,77,99,8.41,overcast clouds
65,Mayumba,GA,-3.432,10.6554,81.09,75,92,8.08,overcast clouds
66,Nanortalik,GL,60.1432,-45.2371,30.43,75,100,6.13,overcast clouds
67,Severo-Kurilsk,RU,50.6789,156.125,22.77,86,96,3.65,overcast clouds
68,Bac Lieu,VN,9.285,105.7244,78.67,82,87,12.12,overcast clouds
69,San Carlos De Bariloche,AR,-41.1456,-71.3082,59.25,25,0,3.44,clear sky
70,Yevlax,AZ,40.6089,47.1492,43.02,93,75,5.75,broken clouds
71,Airai,TL,-8.9266,125.4092,60.89,94,100,1.48,heavy intensity rain
72,Road Town,VG,18.4167,-64.6167,82.49,65,20,18.41,few clouds
73,Sotouboua,TG,8.5667,0.9833,100.44,7,3,5.03,clear sky
74,Goderich,CA,43.7501,-81.7165,34.92,100,100,17.27,light snow
75,Khani,GE,41.9563,42.9566,36.97,81,48,6.08,scattered clouds
76,Arona,ES,28.0996,-16.681,71.91,39,20,5.75,few clouds
77,Ravar,IR,31.2656,56.8055,56.55,25,0,1.54,clear sky
78,Conselheiro Pena,BR,-19.1722,-41.4722,80.82,82,91,0.63,overcast clouds
79,Salta,AR,-24.7859,-65.4117,81.57,53,75,3.44,broken clouds
80,Soyo,AO,-6.1349,12.3689,87.85,67,60,11.65,broken clouds
81,Aswan,EG,24.0934,32.907,67.3,26,0,9.22,clear sky
82,Hithadhoo,MV,-0.6,73.0833,81.86,69,100,8.25,overcast clouds
83,Saint-Philippe,RE,-21.3585,55.7679,80.19,78,42,8.01,scattered clouds
84,Cherskiy,RU,68.75,161.3,-37.79,99,50,5.28,scattered clouds
85,Asyut,EG,27.181,31.1837,62.78,34,0,9.35,clear sky
86,Port Shepstone,ZA,-30.7414,30.455,79.47,84,67,9.13,broken clouds
87,Awjilah,LY,29.1081,21.2869,59.29,42,0,7.02,clear sky
88,Poum,NC,-20.2333,164.0167,80.4,80,100,11.54,overcast clouds
89,Constitucion,CL,-35.3333,-72.4167,69.64,37,0,11.68,clear sky
90,Veraval,IN,20.9,70.3667,73.15,58,2,5.06,clear sky
91,Maebaru,JP,33.55,130.2,40.68,65,100,7.27,overcast clouds
92,Pisco,PE,-13.7,-76.2167,75.25,64,0,13.8,clear sky
93,Puerto Escondido,MX,15.85,-97.0667,77.83,83,40,4.61,scattered clouds
94,Rio Gallegos,AR,-51.6226,-69.2181,57.25,54,75,28.77,broken clouds
95,Havelock,US,34.8791,-76.9013,62.98,57,20,0.0,few clouds
96,Maragogi,BR,-9.0122,-35.2225,87.69,52,91,12.3,overcast clouds
97,Prince Rupert,CA,54.3161,-130.3201,35.29,93,100,4.61,overcast clouds
98,Ambilobe,MG,-13.2,49.05,74.19,95,99,2.84,moderate rain
99,Katsuura,JP,35.1333,140.3,41.18,68,14,13.06,few clouds
100,Atuona,PF,-9.8,-139.0333,77.09,78,24,15.46,light rain
101,Puerto Ayora,EC,-0.7393,-90.3518,80.56,91,47,1.99,scattered clouds
102,Cabo San Lucas,MX,22.8909,-109.9124,64.15,53,0,4.92,clear sky
103,Asfi,MA,32.2994,-9.2372,64.36,69,58,17.27,broken clouds
